,date,home_team,away_team,home_score,away_score,tournament
1065,6/26/1999,China PR,Australia,3,1,FIFA World Cup
1066,6/26/1999,Ghana,Sweden,0,2,FIFA World Cup
1067,6/27/1999,Nigeria,Denmark,2,0,FIFA World Cup
1068,6/27/1999,United States,North Korea,3,0,FIFA World Cup
1069,6/27/1999,Germany,Brazil,3,3,FIFA World Cup
1070,6/27/1999,Mexico,Italy,0,2,FIFA World Cup
1071,6/30/1999,China PR,Russia,2,0,FIFA World Cup
1072,6/30/1999,Norway,Sweden,3,1,FIFA World Cup
1073,7/1/1999,United States,Germany,3,2,FIFA World Cup
1074,7/1/1999,Brazil,Nigeria,4,3,FIFA World Cup
1075,7/4/1999,United States,Brazil,2,0,FIFA World Cup
1076,7/4/1999,Norway,China PR,0,5,FIFA World Cup
1077,7/10/1999,Brazil,Norway,0,0,FIFA World Cup
1078,7/10/1999,United States,China PR,0,0,FIFA World Cup
1079,7/24/1999,Bosnia and Herzegovina,Turkey,2,6,UEFA Euro qualification
1080,8/11/1999,Belarus,Estonia,4,1,UEFA Euro qualification
1081,8/21/1999,Finland,Russia,0,2,UEFA Euro qualification
1082,8/22/1999,Ukraine,Iceland,2,2,UEFA Euro qualification
1083,9/4/1999,Hungary,Bosnia and Herzegovina,13,0,UEFA Euro qualification
1084,9/4/1999,Estonia,Slovakia,0,4,UEFA Euro qualification
1085,9/11/1999,Norway,Switzerland,4,0,UEFA Euro qualification
1086,9/16/1999,Estonia,Romania,2,6,UEFA Euro qualification
1087,9/17/1999,Israel,Belarus,0,5,UEFA Euro qualification
1088,9/18/1999,FR Yugoslavia,Finland,2,0,UEFA Euro qualification
1089,9/18/1999,Poland,Austria,4,1,UEFA Euro qualification
1090,9/22/1999,Iceland,Italy,0,0,UEFA Euro qualification
1091,9/23/1999,Germany,Ukraine,3,0,UEFA Euro qualification
1092,9/29/1999,Sweden,France,2,2,UEFA Euro qualification
1093,9/29/1999,Denmark,Russia,2,4,UEFA Euro qualification
1094,10/2/1999,Greece,Hungary,0,8,UEFA Euro qualification
1095,10/3/1999,Wales,Poland,0,4,UEFA Euro qualification
1096,10/3/1999,Scotland,Republic of Ireland,3,0,UEFA Euro qualification
1097,10/7/1999,Belarus,Slovakia,1,0,UEFA Euro qualification
1098,10/9/1999,Russia,FR Yugoslavia,4,0,UEFA Euro qualification
1099,10/13/1999,Italy,Ukraine,1,0,UEFA Euro qualification
1100,10/14/1999,Germany,Iceland,5,0,UEFA Euro qualification
1101,10/16/1999,Switzerland,England,0,3,UEFA Euro qualification
1102,10/16/1999,Belgium,Austria,3,1,UEFA Euro qualification
1103,10/16/1999,Bosnia and Herzegovina,Greece,1,3,UEFA Euro qualification
1104,10/17/1999,Czech Republic,Republic of Ireland,1,1,UEFA Euro qualification
1105,10/19/1999,Israel,Estonia,2,1,UEFA Euro qualification
1106,10/23/1999,Portugal,Norway,0,4,UEFA Euro qualification
1107,10/23/1999,Croatia,Scotland,4,3,UEFA Euro qualification
1108,10/24/1999,Austria,Wales,1,1,UEFA Euro qualification
1109,10/24/1999,Romania,Belarus,1,1,UEFA Euro qualification
1110,10/30/1999,Netherlands,France,1,1,UEFA Euro qualification
1111,10/30/1999,Republic of Ireland,Croatia,2,0,UEFA Euro qualification
1112,10/31/1999,Israel,Romania,0,4,UEFA Euro qualification
1113,11/3/1999,Turkey,Hungary,2,8,UEFA Euro qualification
1114,11/6/1999,Belgium,Poland,4,1,UEFA Euro qualification
1115,11/7/1999,Spain,Sweden,2,5,UEFA Euro qualification
1116,11/7/1999,North Korea,India,7,0,AFC Championship
1117,11/7/1999,Taiwan,Malaysia,16,0,AFC Championship
1118,11/7/1999,China PR,South Korea,5,2,AFC Championship
1119,11/7/1999,Hong Kong,Kazakhstan,0,8,AFC Championship
1120,11/8/1999,Japan,Thailand,9,0,AFC Championship
1121,11/8/1999,Philippines,Nepal,5,0,AFC Championship
1122,11/9/1999,North Korea,Vietnam,12,1,AFC Championship
1123,11/9/1999,India,Malaysia,3,0,AFC Championship
1124,11/9/1999,China PR,Guam,15,0,AFC Championship
1125,11/9/1999,South Korea,Kazakhstan,6,0,AFC Championship
1126,11/10/1999,Denmark,FR Yugoslavia,6,0,UEFA Euro qualification
1127,11/10/1999,Uzbekistan,Japan,1,5,AFC Championship
1128,11/10/1999,Thailand,Nepal,5,0,AFC Championship
1129,11/11/1999,Italy,Germany,4,4,UEFA Euro qualification
1130,11/11/1999,Malaysia,North Korea,1,5,AFC Championship
1131,11/11/1999,Taiwan,Vietnam,4,1,AFC Championship
1132,11/11/1999,Kazakhstan,China PR,0,9,AFC Championship
1133,11/11/1999,Hong Kong,Guam,0,2,AFC Championship
1134,11/19/1999,North Korea,China PR,0,3,AFC Championship
1135,11/19/1999,Japan,Taiwan,0,2,AFC Championship
1136,11/12/1999,Japan,Nepal,14,0,AFC Championship
1137,11/12/1999,Philippines,Uzbekistan,0,1,AFC Championship
1138,11/13/1999,Taiwan,North Korea,1,1,AFC Championship
1139,11/13/1999,India,Vietnam,0,3,AFC Championship
1140,11/13/1999,China PR,Hong Kong,12,0,AFC Championship
1141,11/13/1999,South Korea,Guam,8,0,AFC Championship
1142,11/14/1999,Scotland,Czech Republic,2,1,UEFA Euro qualification
1143,11/14/1999,Thailand,Uzbekistan,0,1,AFC Championship
1144,11/14/1999,Philippines,Japan,0,6,AFC Championship
1145,11/15/1999,Vietnam,Malaysia,4,0,AFC Championship
1146,11/15/1999,Taiwan,India,2,0,AFC Championship
1147,11/15/1999,Guam,Kazakhstan,0,8,AFC Championship
1148,11/15/1999,South Korea,Hong Kong,14,0,AFC Championship
1149,11/16/1999,Israel,Slovakia,0,5,UEFA Euro qualification
1150,11/16/1999,Uzbekistan,Nepal,6,1,AFC Championship
1151,11/16/1999,Philippines,Thailand,0,1,AFC Championship
1152,11/21/1999,North Korea,Japan,3,2,AFC Championship
1153,11/21/1999,China PR,Taiwan,3,0,AFC Championship
1154,11/27/1999,France,Spain,1,0,UEFA Euro qualification
1155,11/27/1999,Portugal,Switzerland,0,1,UEFA Euro qualification
1156,12/1/1999,Wales,Belgium,0,2,UEFA Euro qualification
1157,12/12/1999,Spain,Netherlands,1,1,UEFA Euro qualification
1158,12/18/1999,Greece,Turkey,0,0,UEFA Euro qualification
1159,2/16/2000,Turkey,Bosnia and Herzegovina,3,1,UEFA Euro qualification
1160,2/20/2000,England,Portugal,2,0,UEFA Euro qualification
1161,3/4/2000,Greece,Bosnia and Herzegovina,4,0,UEFA Euro qualification
1162,3/7/2000,England,Norway,0,3,UEFA Euro qualification
1163,3/12/2000,Portugal,United States,0,7,Algarve Cup
1164,3/12/2000,Sweden,Denmark,1,0,Algarve Cup
1165,3/12/2000,China PR,Canada,4,0,Algarve Cup
1166,3/12/2000,Norway,Finland,2,0,Algarve Cup
1167,3/14/2000,United States,Denmark,2,1,Algarve Cup
1168,3/14/2000,Portugal,Sweden,1,5,Algarve Cup
1169,3/14/2000,China PR,Finland,4,1,Algarve Cup
1170,3/14/2000,Norway,Canada,2,1,Algarve Cup
1171,3/16/2000,United States,Sweden,1,0,Algarve Cup
1172,3/16/2000,Portugal,Denmark,0,2,Algarve Cup
1173,3/16/2000,China PR,Norway,0,3,Algarve Cup
1174,3/16/2000,Finland,Canada,1,2,Algarve Cup
1175,3/18/2000,Portugal,Finland,0,3,Algarve Cup
1176,3/18/2000,Canada,Denmark,3,2,Algarve Cup
1177,3/18/2000,China PR,Sweden,1,0,Algarve Cup
1178,3/18/2000,United States,Norway,1,0,Algarve Cup
1179,3/26/2000,Belgium,Wales,6,0,UEFA Euro qualification
1180,4/1/2000,Netherlands,Spain,1,2,UEFA Euro qualification
1181,4/1/2000,Switzerland,Portugal,0,2,UEFA Euro qualification
1182,4/6/2000,Germany,Italy,3,0,UEFA Euro qualification
1183,4/8/2000,Hungary,Greece,6,0,UEFA Euro qualification
1184,4/12/2000,Denmark,Finland,3,1,UEFA Euro qualification
1185,4/15/2000,France,Netherlands,2,1,UEFA Euro qualification
1186,4/15/2000,Austria,Belgium,0,3,UEFA Euro qualification
1187,4/22/2000,Portugal,England,2,2,UEFA Euro qualification
1188,4/25/2000,Slovakia,Israel,4,0,UEFA Euro qualification
1189,4/26/2000,Hungary,Turkey,6,0,UEFA Euro qualification
1190,4/29/2000,Sweden,Netherlands,1,1,UEFA Euro qualification
1191,4/29/2000,Austria,Poland,2,3,UEFA Euro qualification
1192,4/29/2000,Republic of Ireland,Scotland,0,3,UEFA Euro qualification
1193,5/6/2000,Poland,Belgium,2,2,UEFA Euro qualification
1194,5/6/2000,Croatia,Republic of Ireland,1,3,UEFA Euro qualification
1195,5/7/2000,Norway,Portugal,5,0,UEFA Euro qualification
1196,5/11/2000,Ukraine,Germany,1,6,UEFA Euro qualification
1197,5/13/2000,England,Switzerland,1,0,UEFA Euro qualification
1198,5/13/2000,Turkey,Greece,2,3,UEFA Euro qualification
1199,5/13/2000,Bosnia and Herzegovina,Hungary,0,3,UEFA Euro qualification
1200,5/14/2000,Wales,Austria,0,1,UEFA Euro qualification
1201,5/14/2000,Scotland,Croatia,4,1,UEFA Euro qualification
1202,5/17/2000,Netherlands,Sweden,0,3,UEFA Euro qualification
1203,5/17/2000,Estonia,Belarus,0,7,UEFA Euro qualification
1204,5/18/2000,Romania,Slovakia,4,1,UEFA Euro qualification
1205,5/20/2000,Russia,Finland,3,0,UEFA Euro qualification
1206,11/5/2000,Finland,Sweden,2,5,UEFA Euro qualification
1207,5/21/2000,Spain,France,1,2,UEFA Euro qualification
1208,5/24/2000,FR Yugoslavia,Denmark,0,8,UEFA Euro qualification
1209,5/27/2000,Poland,Wales,2,2,UEFA Euro qualification
1210,5/28/2000,Republic of Ireland,Czech Republic,0,4,UEFA Euro qualification
1211,6/1/2000,France,Sweden,2,0,UEFA Euro qualification
1212,6/1/2000,Finland,Denmark,2,1,UEFA Euro qualification
1213,6/4/2000,Norway,England,8,0,UEFA Euro qualification
1214,6/6/2000,Romania,Israel,5,1,UEFA Euro qualification
1215,6/7/2000,Italy,Iceland,1,0,UEFA Euro qualification
1216,6/11/2000,Sweden,Spain,7,0,UEFA Euro qualification
1217,6/14/2000,Russia,Denmark,5,2,UEFA Euro qualification
1218,6/15/2000,Slovakia,Romania,0,3,UEFA Euro qualification
1219,6/17/2000,Ukraine,Italy,0,0,UEFA Euro qualification
1220,6/17/2000,Croatia,Czech Republic,1,2,UEFA Euro qualification
1221,6/23/2000,Brazil,Costa Rica,8,0,CONCACAF Gold Cup
1222,6/23/2000,United States,Trinidad and Tobago,11,0,CONCACAF Gold Cup
1223,6/24/2000,China PR,Guatemala,14,0,CONCACAF Gold Cup
1224,6/24/2000,Canada,Mexico,4,3,CONCACAF Gold Cup
1225,6/24/2000,Switzerland,Norway,0,1,UEFA Euro qualification
1226,6/24/2000,FR Yugoslavia,Russia,0,1,UEFA Euro qualification
1227,6/25/2000,Brazil,Trinidad and Tobago,11,0,CONCACAF Gold Cup
1228,6/25/2000,United States,Costa Rica,8,0,CONCACAF Gold Cup
1229,6/26/2000,Guatemala,Mexico,0,7,CONCACAF Gold Cup
1230,6/26/2000,China PR,Canada,3,2,CONCACAF Gold Cup
1231,6/27/2000,Trinidad and Tobago,Costa Rica,2,2,CONCACAF Gold Cup
1232,6/27/2000,United States,Brazil,0,0,CONCACAF Gold Cup
1233,6/27/2000,Estonia,Israel,1,2,UEFA Euro qualification
1234,6/28/2000,Canada,Guatemala,12,0,CONCACAF Gold Cup
1235,6/28/2000,Mexico,China PR,0,3,CONCACAF Gold Cup
1236,6/29/2000,Belarus,Romania,0,1,UEFA Euro qualification
1237,7/1/2000,United States,Canada,4,1,CONCACAF Gold Cup
1238,7/1/2000,China PR,Brazil,2,3,CONCACAF Gold Cup
1239,7/1/2000,Finland,FR Yugoslavia,2,0,UEFA Euro qualification
1240,7/1/2000,Czech Republic,Croatia,5,0,UEFA Euro qualification
1241,7/3/2000,China PR,Canada,2,1,CONCACAF Gold Cup
1242,7/3/2000,United States,Brazil,1,0,CONCACAF Gold Cup
1243,7/5/2000,Belarus,Israel,1,0,UEFA Euro qualification
1244,7/29/2000,Gabon,Cameroon,0,3,African Championship qualification
1245,7/30/2000,Réunion,Egypt,4,3,African Championship qualification
1246,7/30/2000,Morocco,Algeria,3,0,African Championship qualification
1247,7/30/2000,Zimbabwe,Lesotho,4,0,African Championship qualification
1248,8/5/2000,Slovakia,Belarus,6,1,UEFA Euro qualification
1249,8/11/2000,Egypt,Réunion,1,1,African Championship qualification
1250,8/12/2000,Algeria,Morocco,1,3,African Championship qualification
1251,8/13/2000,Lesotho,Zimbabwe,0,4,African Championship qualification
1252,8/17/2000,Iceland,Germany,0,6,UEFA Euro qualification
1253,8/22/2000,Iceland,Ukraine,2,3,UEFA Euro qualification
1254,8/26/2000,Czech Republic,Scotland,5,1,UEFA Euro qualification
1255,8/26/2000,Romania,Estonia,10,0,UEFA Euro qualification
1256,8/29/2000,Slovakia,Estonia,3,1,UEFA Euro qualification
1257,9/13/2000,Australia,Germany,0,3,Olympic Games
1258,9/13/2000,Sweden,Brazil,0,2,Olympic Games
1259,9/14/2000,United States,Norway,2,0,Olympic Games
1260,9/14/2000,China PR,Nigeria,3,1,Olympic Games
1261,9/16/2000,Australia,Sweden,1,1,Olympic Games
1262,9/16/2000,Germany,Brazil,2,1,Olympic Games
1263,9/17/2000,United States,China PR,1,1,Olympic Games
1264,9/17/2000,Norway,Nigeria,3,1,Olympic Games
1265,9/19/2000,Australia,Brazil,1,2,Olympic Games
1266,9/19/2000,Germany,Sweden,1,0,Olympic Games
1267,9/20/2000,United States,Nigeria,3,1,Olympic Games
1268,9/20/2000,Norway,China PR,2,1,Olympic Games
1269,9/21/2000,Romania,Iceland,2,2,UEFA Euro qualification
1270,9/24/2000,Germany,Norway,0,1,Olympic Games
1271,9/24/2000,United States,Brazil,1,0,Olympic Games
1272,9/28/2000,Germany,Brazil,2,0,Olympic Games
1273,9/28/2000,Norway,United States,3,2,Olympic Games
1274,9/30/2000,Iceland,Romania,8,0,UEFA Euro qualification
1275,10/14/2000,Hungary,Netherlands,0,3,UEFA Euro qualification
1276,10/14/2000,Belgium,Switzerland,1,1,UEFA Euro qualification
1277,10/14/2000,Czech Republic,FR Yugoslavia,1,0,UEFA Euro qualification
1278,10/18/2000,Sweden,Finland,5,1,UEFA Euro qualification
1279,10/18/2000,Italy,Portugal,3,0,UEFA Euro qualification
1280,10/22/2000,Spain,Denmark,1,6,UEFA Euro qualification
1281,10/30/2000,Ukraine,England,1,2,UEFA Euro qualification
1282,11/11/2000,South Africa,Réunion,3,0,African Championship
1283,11/11/2000,Zimbabwe,Uganda,2,2,African Championship
1284,11/12/2000,Nigeria,Ghana,2,2,African Championship
1285,11/12/2000,Cameroon,Morocco,4,1,African Championship
1286,11/14/2000,Zimbabwe,Réunion,2,1,African Championship
1287,11/14/2000,South Africa,Uganda,3,0,African Championship
1288,11/15/2000,Ghana,Cameroon,2,0,African Championship
1289,11/15/2000,Nigeria,Morocco,6,0,African Championship
1290,11/17/2000,Uganda,Réunion,2,1,African Championship
1291,11/17/2000,South Africa,Zimbabwe,2,1,African Championship
1292,11/18/2000,Ghana,Morocco,3,0,African Championship
1293,11/18/2000,Nigeria,Cameroon,3,0,African Championship
1294,11/18/2000,Switzerland,Belgium,0,0,UEFA Euro qualification
1295,11/18/2000,Netherlands,Hungary,2,0,UEFA Euro qualification
1296,11/19/2000,FR Yugoslavia,Czech Republic,2,3,UEFA Euro qualification
1297,11/21/2000,South Africa,Ghana,1,0,African Championship
1298,11/21/2000,Nigeria,Zimbabwe,6,0,African Championship
1299,11/21/2000,Denmark,Spain,4,2,UEFA Euro qualification
1300,11/22/2000,Portugal,Italy,1,0,UEFA Euro qualification
1301,11/24/2000,Ghana,Zimbabwe,6,3,African Championship
1302,11/25/2000,South Africa,Nigeria,0,2,African Championship
1303,11/28/2000,England,Ukraine,2,0,UEFA Euro qualification
1304,3/11/2001,Canada,United States,3,0,Algarve Cup
1305,3/11/2001,Portugal,Sweden,1,4,Algarve Cup
1306,3/11/2001,Denmark,China PR,2,1,Algarve Cup
1307,3/11/2001,Norway,Finland,5,1,Algarve Cup
1308,3/13/2001,Portugal,United States,0,2,Algarve Cup
1309,3/13/2001,Sweden,Canada,5,2,Algarve Cup
1310,3/13/2001,Norway,China PR,0,2,Algarve Cup
1311,3/13/2001,Finland,Denmark,0,6,Algarve Cup
1312,3/15/2001,Sweden,United States,2,0,Algarve Cup
1313,3/15/2001,Portugal,Canada,1,2,Algarve Cup
1314,3/15/2001,Norway,Denmark,1,0,Algarve Cup
1315,3/15/2001,China PR,Finland,3,0,Algarve Cup
1316,3/17/2001,Portugal,Finland,1,3,Algarve Cup
1317,3/17/2001,Norway,United States,4,3,Algarve Cup
1318,3/17/2001,China PR,Canada,5,1,Algarve Cup
1319,3/17/2001,Sweden,Denmark,3,0,Algarve Cup
1320,6/23/2001,Germany,Sweden,3,1,UEFA Euro
1321,6/24/2001,Russia,England,1,1,UEFA Euro
1322,6/25/2001,Italy,Denmark,2,1,UEFA Euro
1323,6/25/2001,Norway,France,3,0,UEFA Euro
1324,6/27/2001,Germany,Russia,5,0,UEFA Euro
1325,6/27/2001,Sweden,England,4,0,UEFA Euro
1326,6/28/2001,France,Denmark,3,4,UEFA Euro
1327,6/28/2001,Norway,Italy,1,1,UEFA Euro
1328,6/30/2001,Germany,England,3,0,UEFA Euro
1329,6/30/2001,Sweden,Russia,1,0,UEFA Euro
1330,7/1/2001,Denmark,Norway,1,0,UEFA Euro
1331,7/1/2001,France,Italy,2,0,UEFA Euro
1332,7/4/2001,Germany,Norway,1,0,UEFA Euro
1333,7/4/2001,Denmark,Sweden,0,1,UEFA Euro
1334,7/7/2001,Germany,Sweden,1,0,UEFA Euro
1335,12/4/2001,Taiwan,Malaysia,14,0,AFC Championship
1336,12/4/2001,India,South Korea,0,7,AFC Championship
1337,12/4/2001,Japan,Singapore,14,0,AFC Championship
1338,12/4/2001,North Korea,Guam,19,0,AFC Championship
1339,12/5/2001,China PR,Hong Kong,10,0,AFC Championship
1340,12/5/2001,Uzbekistan,Philippines,5,0,AFC Championship
1341,12/6/2001,Malaysia,Thailand,0,4,AFC Championship
1342,12/6/2001,Taiwan,India,5,0,AFC Championship
1343,12/6/2001,Vietnam,Guam,2,0,AFC Championship
1344,12/6/2001,North Korea,Singapore,24,0,AFC Championship
1345,12/7/2001,Hong Kong,Philippines,2,1,AFC Championship
1346,12/7/2001,China PR,Uzbekistan,11,0,AFC Championship
1347,12/8/2001,Malaysia,South Korea,0,3,AFC Championship
1348,12/8/2001,Taiwan,Thailand,5,0,AFC Championship
1349,12/8/2001,Japan,Guam,11,0,AFC Championship
1350,12/8/2001,North Korea,Vietnam,4,0,AFC Championship
1351,12/9/2001,Uzbekistan,Hong Kong,4,0,AFC Championship
1352,12/9/2001,China PR,Philippines,10,0,AFC Championship
1353,12/10/2001,India,Thailand,0,1,AFC Championship
1354,12/10/2001,Taiwan,South Korea,0,1,AFC Championship
1355,12/10/2001,Vietnam,Singapore,8,0,AFC Championship
1356,12/10/2001,Japan,North Korea,0,1,AFC Championship
1357,12/12/2001,South Korea,Thailand,4,0,AFC Championship
1358,12/12/2001,India,Malaysia,3,0,AFC Championship
1359,12/12/2001,Japan,Vietnam,3,1,AFC Championship
1360,12/12/2001,Guam,Singapore,1,2,AFC Championship
1361,12/14/2001,South Korea,Japan,1,2,AFC Championship
1362,12/14/2001,North Korea,China PR,3,1,AFC Championship
1363,12/16/2001,South Korea,China PR,0,8,AFC Championship
1364,12/16/2001,North Korea,Japan,2,0,AFC Championship
1365,1/23/2002,Norway,United States,1,0,Four Nations Tournament
1366,1/23/2002,China PR,Germany,2,1,Four Nations Tournament
1367,1/25/2002,Germany,United States,0,0,Four Nations Tournament
1368,1/25/2002,China PR,Norway,0,3,Four Nations Tournament
1369,1/27/2002,Germany,Norway,3,1,Four Nations Tournament
1370,1/27/2002,China PR,United States,0,2,Four Nations Tournament
1371,3/1/2002,Denmark,Germany,0,3,Algarve Cup
1372,3/1/2002,China PR,Finland,4,1,Algarve Cup
1373,3/1/2002,Sweden,United States,1,1,Algarve Cup
1374,3/1/2002,Norway,England,3,1,Algarve Cup
1375,3/1/2002,Canada,Scotland,3,0,Algarve Cup
1376,3/1/2002,Portugal,Wales,0,1,Algarve Cup
1377,3/3/2002,Finland,Denmark,0,2,Algarve Cup
1378,3/3/2002,Germany,China PR,2,4,Algarve Cup
1379,3/3/2002,Sweden,Norway,3,3,Algarve Cup
1380,3/3/2002,United States,England,2,0,Algarve Cup
1381,3/3/2002,Canada,Wales,4,0,Algarve Cup
1382,3/3/2002,Portugal,Scotland,1,2,Algarve Cup
1383,3/5/2002,Denmark,China PR,0,1,Algarve Cup
1384,3/5/2002,Finland,Germany,0,2,Algarve Cup
1385,3/5/2002,England,Sweden,3,6,Algarve Cup
1386,3/5/2002,Norway,United States,3,2,Algarve Cup
1387,3/5/2002,Wales,Scotland,0,1,Algarve Cup
1388,3/5/2002,Portugal,Canada,1,7,Algarve Cup
1389,3/7/2002,Portugal,Wales,4,0,Algarve Cup
1390,3/7/2002,England,Scotland,4,1,Algarve Cup
1391,3/7/2002,Finland,Canada,3,0,Algarve Cup
1392,3/7/2002,United States,Denmark,3,2,Algarve Cup
1393,3/7/2002,Sweden,Germany,2,1,Algarve Cup
1394,3/7/2002,China PR,Norway,1,0,Algarve Cup
1395,7/5/2002,Trinidad and Tobago,Dominica,13,0,CONCACAF Gold Cup qualification
1396,7/6/2002,Trinidad and Tobago,Dominica,9,0,CONCACAF Gold Cup qualification
1397,7/10/2002,Haiti,Bahamas,9,0,CONCACAF Gold Cup qualification
1398,7/10/2002,Dominican Republic,Saint Lucia,2,2,CONCACAF Gold Cup qualification
1399,7/12/2002,Haiti,Saint Lucia,2,0,CONCACAF Gold Cup qualification
1400,7/12/2002,Dominican Republic,Bahamas,3,0,CONCACAF Gold Cup qualification
1401,7/13/2002,Jamaica,Puerto Rico,8,0,CONCACAF Gold Cup qualification
1402,7/14/2002,Saint Lucia,Bahamas,7,1,CONCACAF Gold Cup qualification
1403,7/14/2002,Haiti,Dominican Republic,2,0,CONCACAF Gold Cup qualification
1404,7/21/2002,Puerto Rico,Jamaica,0,3,CONCACAF Gold Cup qualification
1405,7/29/2002,Panama,Guatemala,2,1,CONCACAF Gold Cup qualification
1406,7/29/2002,Costa Rica,Honduras,5,2,CONCACAF Gold Cup qualification
1407,8/1/2002,El Salvador,Panama,1,3,CONCACAF Gold Cup qualification
1408,8/1/2002,Guatemala,Honduras,2,1,CONCACAF Gold Cup qualification
1409,8/3/2002,Costa Rica,Guatemala,4,0,CONCACAF Gold Cup qualification
1410,8/3/2002,El Salvador,Honduras,1,0,CONCACAF Gold Cup qualification
1411,8/4/2002,Costa Rica,Panama,4,1,CONCACAF Gold Cup qualification
1412,8/4/2002,El Salvador,Guatemala,1,5,CONCACAF Gold Cup qualification
1413,8/4/2002,Jamaica,Haiti,2,0,CONCACAF Gold Cup qualification
1414,8/6/2002,El Salvador,Costa Rica,0,3,CONCACAF Gold Cup qualification
1415,8/6/2002,Panama,Honduras,2,6,CONCACAF Gold Cup qualification
1416,8/8/2002,Suriname,U.S. Virgin Islands,6,1,CONCACAF Gold Cup qualification
1417,8/10/2002,Suriname,U.S. Virgin Islands,2,0,CONCACAF Gold Cup qualification
1418,8/13/2002,Suriname,Trinidad and Tobago,1,3,CONCACAF Gold Cup qualification
1419,8/15/2002,Suriname,Trinidad and Tobago,1,2,CONCACAF Gold Cup qualification
1420,8/18/2002,Haiti,Jamaica,0,0,CONCACAF Gold Cup qualification
1421,8/24/2002,Tanzania,Eritrea,2,2,African Championship qualification
1422,8/24/2002,Equatorial Guinea,Angola,1,3,African Championship qualification
1423,8/24/2002,Gabon,São Tomé and Príncipe,6,0,African Championship qualification
1424,8/24/2002,Mali,Ivory Coast,1,1,African Championship qualification
1425,9/8/2002,Haiti,Suriname,3,0,CONCACAF Gold Cup qualification
1426,9/10/2002,Haiti,Suriname,2,1,CONCACAF Gold Cup qualification
1427,9/21/2002,Zambia,South Africa,1,4,African Championship qualification
1428,9/21/2002,Tanzania,Zimbabwe,0,5,African Championship qualification
1429,9/21/2002,Gabon,Cameroon,0,0,African Championship qualification
1430,9/22/2002,Ethiopia,Uganda,2,0,African Championship qualification
1431,9/22/2002,Angola,DR Congo,1,0,African Championship qualification
1432,9/22/2002,Senegal,Ghana,0,3,African Championship qualification
1433,9/22/2002,Mali,Morocco,0,0,African Championship qualification
1434,10/13/2002,Uganda,Ethiopia,2,2,African Championship qualification
1435,10/13/2002,Zimbabwe,Tanzania,5,0,African Championship qualification
1436,10/27/2002,Trinidad and Tobago,Panama,2,4,CONCACAF Gold Cup
1437,10/27/2002,United States,Mexico,3,0,CONCACAF Gold Cup
1438,10/29/2002,United States,Trinidad and Tobago,3,0,CONCACAF Gold Cup
1439,10/29/2002,Mexico,Panama,5,1,CONCACAF Gold Cup
1440,10/30/2002,Jamaica,Costa Rica,0,2,CONCACAF Gold Cup
1441,10/30/2002,Canada,Haiti,11,1,CONCACAF Gold Cup
1442,11/1/2002,Haiti,Costa Rica,0,5,CONCACAF Gold Cup
1443,11/1/2002,Canada,Jamaica,9,0,CONCACAF Gold Cup
1444,11/2/2002,Mexico,Trinidad and Tobago,2,0,CONCACAF Gold Cup
1445,11/2/2002,United States,Panama,9,0,CONCACAF Gold Cup
1446,11/3/2002,Jamaica,Haiti,1,2,CONCACAF Gold Cup
1447,11/3/2002,Canada,Costa Rica,3,0,CONCACAF Gold Cup
1448,11/6/2002,Canada,Mexico,2,0,CONCACAF Gold Cup
1449,11/6/2002,United States,Costa Rica,7,0,CONCACAF Gold Cup
1450,11/9/2002,Mexico,Costa Rica,4,1,CONCACAF Gold Cup
1451,11/9/2002,United States,Canada,2,1,CONCACAF Gold Cup
1452,12/7/2002,Nigeria,Ethiopia,3,0,African Championship
1453,12/7/2002,Mali,Ghana,0,2,African Championship
1454,12/8/2002,South Africa,Cameroon,2,1,African Championship
1455,12/8/2002,Angola,Zimbabwe,1,1,African Championship
1456,12/10/2002,Ethiopia,Mali,2,2,African Championship
1457,12/10/2002,Nigeria,Ghana,0,1,African Championship
1458,8/10/2002,Eritrea,Tanzania,2,3,African Championship qualification
1459,8/10/2002,São Tomé and Príncipe,Gabon,0,2,African Championship qualification
1460,8/10/2002,Ivory Coast,Mali,3,3,African Championship qualification
1461,12/11/2002,Cameroon,Zimbabwe,0,0,African Championship
1462,12/11/2002,South Africa,Angola,1,1,African Championship
1463,8/11/2002,Angola,Equatorial Guinea,3,0,African Championship qualification
1464,10/11/2002,DR Congo,Angola,1,0,African Championship qualification
1465,10/11/2002,Morocco,Mali,0,0,African Championship qualification
1466,12/12/2002,Cameroon,South Africa,3,0,African Championship
1467,12/12/2002,Nigeria,Ghana,2,0,African Championship
1468,10/12/2002,South Africa,Zambia,4,0,African Championship qualification
1469,10/12/2002,Cameroon,Gabon,4,0,African Championship qualification
1470,10/12/2002,Ghana,Senegal,3,1,African Championship qualification
1471,12/13/2002,Nigeria,Mali,5,1,African Championship
1472,12/13/2002,Ghana,Ethiopia,3,0,African Championship
1473,12/14/2002,Cameroon,Angola,1,0,African Championship
1474,12/14/2002,South Africa,Zimbabwe,3,1,African Championship
1475,12/17/2002,Ghana,Cameroon,3,2,African Championship
1476,12/18/2002,Nigeria,South Africa,5,0,African Championship
1477,1/23/2003,China PR,Germany,0,0,Four Nations Tournament
1478,1/23/2003,Norway,United States,1,3,Four Nations Tournament
1479,1/26/2003,Germany,Norway,2,2,Four Nations Tournament
1480,1/26/2003,China PR,United States,2,0,Four Nations Tournament
