,date,home_team,away_team,home_score,away_score,tournament
522,10/16/1993,Norway,Hungary,8,0,UEFA Euro qualification
523,10/16/1993,Romania,Russia,2,2,UEFA Euro qualification
524,10/16/1993,Italy,Scotland,4,0,UEFA Euro qualification
525,10/24/1993,Switzerland,Germany,0,5,UEFA Euro qualification
526,10/30/1993,Belgium,Spain,0,0,UEFA Euro qualification
527,11/6/1993,Belgium,England,0,3,UEFA Euro qualification
528,11/7/1993,Poland,Romania,0,4,UEFA Euro qualification
529,11/10/1993,Switzerland,Croatia,1,2,UEFA Euro qualification
530,11/20/1993,Italy,France,2,0,UEFA Euro qualification
531,12/3/1993,Malaysia,South Korea,0,4,AFC Championship
532,12/3/1993,China PR,North Korea,1,1,AFC Championship
533,12/4/1993,Hong Kong,Philippines,5,0,AFC Championship
534,12/4/1993,Japan,Taiwan,6,1,AFC Championship
535,12/5/1993,China PR,South Korea,6,0,AFC Championship
536,12/5/1993,Malaysia,North Korea,0,12,AFC Championship
537,12/6/1993,Japan,Philippines,15,0,AFC Championship
538,12/6/1993,Taiwan,Hong Kong,2,0,AFC Championship
539,12/7/1993,Malaysia,China PR,0,7,AFC Championship
540,12/8/1993,North Korea,South Korea,3,0,AFC Championship
541,12/8/1993,Japan,Hong Kong,4,0,AFC Championship
542,12/8/1993,Taiwan,Philippines,12,0,AFC Championship
543,12/10/1993,North Korea,Taiwan,2,0,AFC Championship
544,12/10/1993,China PR,Japan,3,1,AFC Championship
545,12/11/1993,Portugal,France,0,1,UEFA Euro qualification
546,12/12/1993,Spain,England,0,0,UEFA Euro qualification
547,12/12/1993,Taiwan,Japan,0,3,AFC Championship
548,12/12/1993,North Korea,China PR,0,3,AFC Championship
549,2/20/1994,England,Spain,0,0,UEFA Euro qualification
550,2/26/1994,France,Scotland,1,0,UEFA Euro qualification
551,3/5/1994,Portugal,Italy,1,3,UEFA Euro qualification
552,3/13/1994,England,Belgium,6,0,UEFA Euro qualification
553,3/16/1994,Portugal,United States,0,5,Algarve Cup
554,3/16/1994,Norway,Finland,6,0,Algarve Cup
555,3/17/1994,Portugal,Sweden,0,3,Algarve Cup
556,3/17/1994,Denmark,Finland,1,0,Algarve Cup
557,3/18/1994,United States,Sweden,1,0,Algarve Cup
558,3/18/1994,Norway,Denmark,6,1,Algarve Cup
559,3/19/1994,Netherlands,Greece,2,0,UEFA Euro qualification
560,3/20/1994,Spain,Slovenia,17,0,UEFA Euro qualification
561,3/20/1994,Portugal,Finland,2,0,Algarve Cup
562,3/20/1994,Sweden,Denmark,1,0,Algarve Cup
563,3/20/1994,Norway,United States,1,0,Algarve Cup
564,3/26/1994,France,Portugal,3,0,UEFA Euro qualification
565,3/31/1994,Germany,Wales,12,0,UEFA Euro qualification
566,4/2/1994,Switzerland,Wales,4,2,UEFA Euro qualification
567,4/3/1994,Scotland,Italy,0,4,UEFA Euro qualification
568,4/5/1994,Croatia,Wales,3,0,UEFA Euro qualification
569,4/16/1994,Greece,Netherlands,0,4,UEFA Euro qualification
570,4/17/1994,England,Slovenia,10,0,UEFA Euro qualification
571,4/19/1994,Hungary,Norway,0,4,UEFA Euro qualification
572,4/23/1994,Czech Republic,Finland,0,0,UEFA Euro qualification
573,4/24/1994,Scotland,Portugal,1,2,UEFA Euro qualification
574,4/24/1994,Spain,Belgium,4,0,UEFA Euro qualification
575,5/4/1994,Croatia,Switzerland,1,1,UEFA Euro qualification
576,5/5/1994,Wales,Germany,0,12,UEFA Euro qualification
577,5/14/1994,Czech Republic,Hungary,0,0,UEFA Euro qualification
578,5/14/1994,France,Italy,1,1,UEFA Euro qualification
579,5/14/1994,Slovenia,Belgium,0,8,UEFA Euro qualification
580,5/15/1994,Russia,Poland,0,0,UEFA Euro qualification
581,5/21/1994,Finland,Norway,2,2,UEFA Euro qualification
582,5/22/1994,Latvia,Sweden,0,5,UEFA Euro qualification
583,5/22/1994,Wales,Croatia,1,2,UEFA Euro qualification
584,5/25/1994,Bulgaria,Denmark,0,4,UEFA Euro qualification
585,5/29/1994,Portugal,Scotland,8,2,UEFA Euro qualification
586,5/29/1994,Slovenia,Spain,0,8,UEFA Euro qualification
587,5/29/1994,Iceland,Greece,3,0,UEFA Euro qualification
588,6/2/1994,Croatia,Germany,0,7,UEFA Euro qualification
589,6/4/1994,Norway,Finland,4,0,UEFA Euro qualification
590,6/11/1994,Italy,Portugal,1,2,UEFA Euro qualification
591,6/14/1994,Russia,Romania,1,0,UEFA Euro qualification
592,6/15/1994,Denmark,Lithuania,11,0,UEFA Euro qualification
593,6/15/1994,Sweden,Slovakia,6,0,UEFA Euro qualification
594,6/19/1994,Finland,Czech Republic,4,0,UEFA Euro qualification
595,8/13/1994,Canada,Jamaica,7,0,CONCACAF Championship
596,8/13/1994,United States,Mexico,9,0,CONCACAF Championship
597,8/15/1994,Trinidad and Tobago,Jamaica,2,1,CONCACAF Championship
598,8/15/1994,Canada,Mexico,6,0,CONCACAF Championship
599,8/17/1994,Mexico,Jamaica,3,1,CONCACAF Championship
600,8/17/1994,United States,Trinidad and Tobago,11,1,CONCACAF Championship
601,8/19/1994,United States,Jamaica,10,0,CONCACAF Championship
602,8/19/1994,Canada,Trinidad and Tobago,5,0,CONCACAF Championship
603,8/21/1994,Mexico,Trinidad and Tobago,3,3,CONCACAF Championship
604,8/21/1994,Canada,United States,0,6,CONCACAF Championship
605,8/21/1994,Ukraine,Poland,3,0,UEFA Euro qualification
606,9/3/1994,Romania,Poland,3,0,UEFA Euro qualification
607,9/10/1994,Hungary,Czech Republic,4,4,UEFA Euro qualification
608,9/18/1994,Russia,Ukraine,2,1,UEFA Euro qualification
609,9/21/1994,Slovakia,Latvia,3,1,UEFA Euro qualification
610,9/21/1994,Germany,Croatia,8,0,UEFA Euro qualification
611,9/24/1994,Czech Republic,Norway,0,9,UEFA Euro qualification
612,9/24/1994,Hungary,Finland,0,1,UEFA Euro qualification
613,9/24/1994,Netherlands,Iceland,0,1,UEFA Euro qualification
614,9/25/1994,Poland,Russia,1,2,UEFA Euro qualification
615,9/25/1994,Germany,Switzerland,11,0,UEFA Euro qualification
616,9/25/1994,Scotland,France,0,3,UEFA Euro qualification
